,Sales data from an e-commerce store // The company wants to have the sales analyzed including promotions and delivery time,,,,,,,,,,,
,,,,,,,,,,,,
order_id (unique),product_id,store_id,order_date,order_date_2,sales,revenue,stock,price,promo_type_1,promo_type_2,delivery_date_format1,delivery_date_format2
,,,,,,,,,,,,
1,P0258,S0008,1/2/2023,2-Jan-23,0 sales,0,5,6.5,PR14,PR03,1/5/2023,5/1/2023
2,P0348,S0110,1/2/2023,2-Jan-23,0 sales,0,9,2.1,PR05,PR03,1/4/2023,4/1/2023
3,P0219,S0026,1/2/2023,2-Jan-23,5 sales,33.56,3,7.25,PR14,PR03,1/5/2023,5/1/2023
3,P0219,S0026,1/2/2023,2-Jan-23,5 sales,33.56,3,7.25,PR14,PR03,1/5/2023,5/1/2023
3,P0219,S0026,1/2/2023,2-Jan-23,5 sales,33.56,3,7.25,PR14,PR03,1/5/2023,5/1/2023
4,P0218,S0051,1/2/2023,2-Jan-23,0 sales,0,1,59.9,PR05,PR03,1/4/2023,4/1/2023
5,P0660,S0056,1/2/2023,2-Jan-23,1 sales,4.58,5,4.95,PR14,PR03,1/4/2023,4/1/2023
6,P0695,S0023,1/2/2023,2-Jan-23,0 sales,0,33,4.85,PR14,PR03,1/6/2023,6/1/2023
7,P0695,S0132,1/2/2023,2-Jan-23,0 sales,0,3,4.85,PR14,PR03,1/3/2023,3/1/2023
8,P0296,S0004,1/2/2023,2-Jan-23,0 sales,0,36,0.75,PR14,PR03,1/5/2023,5/1/2023
9,P0287,S0123,1/2/2023,2-Jan-23,0 sales,0,10,7.5,PR05,PR03,1/4/2023,4/1/2023
10,P0114,S0137,1/2/2023,2-Jan-23,2 sales,0.83,12,0.45,PR14,PR03,1/4/2023,4/1/2023
11,P0241,S0097,1/2/2023,2-Jan-23,0 sales,0,11,12.95,PR05,PR03,1/6/2023,6/1/2023
12,P0165,S0102,1/2/2023,2-Jan-23,1 sales,1.3,16,1.4,PR14,PR03,1/4/2023,4/1/2023
13,P0327,S0063,1/2/2023,2-Jan-23,0 sales,0,12,1.95,PR07,PR03,1/4/2023,4/1/2023
14,P0436,S0021,1/2/2023,2-Jan-23,1 sales,2.78,19,3,PR14,PR03,1/4/2023,4/1/2023
15,P0131,S0091,1/2/2023,2-Jan-23,0 sales,0,26,2.25,PR14,PR03,1/3/2023,3/1/2023
16,P0171,S0094,1/2/2023,2-Jan-23,0 sales,0,7,9.85,PR14,PR03,1/6/2023,6/1/2023
17,P0035,S0023,1/2/2023,2-Jan-23,2 sales,4.54,49,2.45,PR14,PR03,1/6/2023,6/1/2023
18,P0402,S0056,1/2/2023,2-Jan-23,0 sales,0,6,7.75,PR14,PR03,1/3/2023,3/1/2023
19,P0438,S0015,1/2/2023,2-Jan-23,5 sales,1.16,78,0.25,PR14,PR03,1/4/2023,4/1/2023
20,P0453,S0056,1/2/2023,2-Jan-23,0 sales,0,36,5.25,PR14,PR03,1/6/2023,6/1/2023
21,P0252,S0096,1/2/2023,2-Jan-23,0 sales,0,1,14.99,PR14,PR03,1/6/2023,6/1/2023
22,P0249,S0078,1/2/2023,2-Jan-23,0 sales,0,4,1.9,PR14,PR03,1/6/2023,6/1/2023
23,P0219,S0040,1/2/2023,2-Jan-23,0 sales,0,13,7.25,PR14,PR03,1/4/2023,4/1/2023
24,P0333,S0083,1/2/2023,2-Jan-23,0 sales,0,9,1.85,PR14,PR03,1/6/2023,6/1/2023
25,P0055,S0051,1/2/2023,2-Jan-23,0 sales,0,21,3.5,PR05,PR03,1/5/2023,5/1/2023
27,P0345,S0126,1/2/2023,2-Jan-23,0 sales,0,6,3.15,PR06,PR03,1/6/2023,6/1/2023
29,P0160,S0126,1/2/2023,2-Jan-23,0 sales,0,48,2.5,PR14,PR03,1/4/2023,4/1/2023
30,P0054,S0122,1/2/2023,2-Jan-23,0 sales,0,4,3.95,PR14,PR03,1/3/2023,3/1/2023
31,P0060,S0018,1/2/2023,2-Jan-23,0 sales,0,5,15.9,PR14,PR03,1/5/2023,5/1/2023
32,P0089,S0097,1/2/2023,2-Jan-23,0 sales,0,14,5.99,PR14,PR03,1/4/2023,4/1/2023
33,P0057,S0009,1/2/2023,2-Jan-23,0 sales,0,1,12.9,PR14,PR03,1/3/2023,3/1/2023
34,P0664,S0015,1/2/2023,2-Jan-23,0 sales,0,30,1.25,PR14,PR03,1/6/2023,6/1/2023
35,P0689,S0119,1/2/2023,2-Jan-23,0 sales,0,3,28.9,PR10,PR03,1/4/2023,4/1/2023
36,P0726,S0045,1/2/2023,2-Jan-23,0 sales,0,16,1,PR14,PR03,1/6/2023,6/1/2023
37,P0427,S0116,1/2/2023,2-Jan-23,0 sales,0,29,2.45,PR06,PR03,1/3/2023,3/1/2023
38,P0664,S0014,1/2/2023,2-Jan-23,1 sales,1.16,14,1.25,PR14,PR03,1/4/2023,4/1/2023
39,P0406,S0138,1/2/2023,2-Jan-23,0 sales,0,2,9.95,PR14,PR03,1/3/2023,3/1/2023
40,P0499,S0013,1/2/2023,2-Jan-23,1 sales,0.69,23,0.75,PR14,PR03,1/6/2023,6/1/2023
41,P0664,S0130,1/2/2023,2-Jan-23,0 sales,0,16,1.25,PR14,PR03,1/4/2023,4/1/2023
42,P0665,S0088,1/2/2023,2-Jan-23,0 sales,0,5,10.75,PR14,PR03,1/4/2023,4/1/2023
43,P0286,S0070,1/2/2023,2-Jan-23,0 sales,0,22,1,PR14,PR03,1/3/2023,3/1/2023
44,P0456,S0056,1/2/2023,2-Jan-23,0 sales,0,7,31.9,PR14,PR03,1/4/2023,4/1/2023
45,P0747,S0070,1/2/2023,2-Jan-23,0 sales,0,4,11.95,PR14,PR03,1/3/2023,3/1/2023
46,P0527,S0110,1/2/2023,2-Jan-23,0 sales,0,15,1.95,PR14,PR03,1/5/2023,5/1/2023
47,P0673,S0139,1/2/2023,2-Jan-23,0 sales,0,6,8.95,PR14,PR03,1/4/2023,4/1/2023
48,P0336,S0123,1/2/2023,2-Jan-23,0 sales,0,3,21.5,PR14,PR03,1/4/2023,4/1/2023
49,P0283,S0025,1/3/2023,3-Jan-23,0 sales,0,10,21.5,PR14,PR03,1/7/2023,7/1/2023
50,P0740,S0043,1/3/2023,3-Jan-23,0 sales,0,4,9.9,PR14,PR03,1/6/2023,6/1/2023
51,P0219,S0142,1/3/2023,3-Jan-23,0 sales,0,6,7.25,PR14,PR03,1/5/2023,5/1/2023
